Wall time,Step,Value
1610498110.7414794,0,0.269775390625
1610498202.7131903,100,0.260986328125
1610498265.3677347,200,0.262939453125
1610498328.3988495,300,0.2464599609375
1610498391.323036,400,0.218994140625
1610498454.641694,500,0.2132568359375
1610498517.8107095,600,0.22509765625
1610498580.8452423,700,0.21484375
1610498644.152295,800,0.2161865234375
1610498706.9556134,900,0.26220703125
1610498770.0231974,1000,0.23095703125
1610498833.1209912,1100,0.2183837890625
1610498896.3372364,1200,0.24560546875
1610498959.450351,1300,0.2178955078125
1610499022.5616398,1400,0.2200927734375
1610499085.7966335,1500,0.235107421875
1610499148.6421618,1600,0.2127685546875
1610499211.4647348,1700,0.2291259765625
1610499274.256762,1800,0.2093505859375
1610499337.2881463,1900,0.2371826171875
1610499400.1209693,2000,0.207763671875
1610499463.0396566,2100,0.2279052734375
1610499525.9740064,2200,0.2232666015625
1610499588.8933227,2300,0.2137451171875
1610499652.0843086,2400,0.2083740234375
1610499714.9554276,2500,0.2274169921875
1610499777.746423,2600,0.2213134765625
1610499840.5475676,2700,0.2242431640625
1610499903.2530117,2800,0.2110595703125
1610499966.3065224,2900,0.203857421875
1610500029.157582,3000,0.223388671875
1610500092.2739034,3100,0.220947265625
1610500155.2591445,3200,0.229248046875
1610500218.1715188,3300,0.23876953125
1610500281.3409686,3400,0.211181640625
1610500344.3568103,3500,0.21826171875
1610500407.2992938,3600,0.214599609375
1610500470.2944517,3700,0.2213134765625
1610500533.1069903,3800,0.212890625
1610500596.2180293,3900,0.201904296875
1610500659.4884138,4000,0.2275390625
1610500722.5661922,4100,0.2210693359375
1610500785.4975266,4200,0.2161865234375
1610500848.6341825,4300,0.230712890625
1610500911.2987468,4400,0.21826171875
1610500974.3042612,4500,0.2203369140625
1610501037.0889633,4600,0.2432861328125
1610501100.056319,4700,0.22265625
1610501162.9239607,4800,0.2178955078125
1610501226.1463318,4900,0.1953125
1610501309.909056,5000,0.20556640625
1610501421.2530422,5100,0.2327880859375
1610501484.3108504,5200,0.216552734375
1610501547.7521973,5300,0.2340087890625
1610501610.7915962,5400,0.2315673828125
1610501673.810882,5500,0.1993408203125
1610501736.8095489,5600,0.208984375
1610501799.5755568,5700,0.2147216796875
1610501862.7427628,5800,0.2158203125
1610501925.537642,5900,0.22412109375
1610501988.19215,6000,0.206787109375
1610502051.170623,6100,0.2237548828125
1610502114.3160694,6200,0.2071533203125
1610502177.298335,6300,0.215576171875
1610502240.3819401,6400,0.1982421875
1610502303.3269262,6500,0.22509765625
1610502366.342118,6600,0.208740234375
1610502429.5316193,6700,0.205078125
1610502492.6191041,6800,0.2220458984375
1610502555.9987626,6900,0.20703125
1610502618.5891433,7000,0.2076416015625
1610502681.749301,7100,0.2362060546875
1610502744.9254308,7200,0.1951904296875
1610502807.832599,7300,0.2069091796875
1610502871.2278454,7400,0.242431640625
1610502934.097639,7500,0.220703125
1610502996.8010523,7600,0.207275390625
1610503059.786968,7700,0.200927734375
1610503122.641058,7800,0.2059326171875
1610503185.809639,7900,0.203369140625
1610503248.6859353,8000,0.2191162109375
1610503311.6469455,8100,0.2308349609375
1610503374.5656552,8200,0.209716796875
1610503437.4021757,8300,0.1990966796875
1610503500.4567933,8400,0.2244873046875
1610503563.4983742,8500,0.223876953125
1610503626.1661265,8600,0.2147216796875
1610503689.0667136,8700,0.2177734375
